StationID,StationName,20231101,20231201,20240101,20240201,20240301,20240401,Lat,Lon
9063038,"Erie, Lake Erie, PA",572.858,572.861,574.301,573.717,573.314,573.852,42.1533,-80.075
9075080,"Mackinaw City, MI",579.61,579.439,579.124,579.222,579.537,579.357,45.7767,-84.7217
9052030,"Oswego, NY",244.777,244.793,245.112,245.784,245.538,246.037,43.465,-76.5117
9087057,"Milwaukee, WI",580.2,579.573,580.157,579.619,579.675,580.131,43.0017,-87.8883
9087031,"Holland, MI",579.99,579.587,580.167,579.764,579.577,579.865,42.7733,-86.2133
9052000,"Cape Vincent, NY",244.672,244.495,245.374,245.873,245.545,245.938,44.13,-76.3317
9034052,"St Clair Shores, MI",575.279,574.836,575.738,575.413,575.115,575.597,42.4733,-82.88
9099064,"Duluth, MN",602.805,602.638,602.421,602.119,602.257,602.575,46.775,-92.0917
9099044,"Ontonagon, MI",602.388,602.021,601.847,601.683,601.558,601.66,46.875,-89.3233
9063012,"Niagara Intake, NY",561.923,562.133,562.881,562.129,562.08,562.769,43.076,-79.0133
9014090,"Mouth of the Black River, MI",579.134,579.134,578.652,578.845,578.638,579.17,42.975,-82.4183
8311062,"Alexandria Bay, NY",244.386,244.262,245.253,245.486,245.194,245.522,44.3317,-75.935
9076033,"Little Rapids, MI",580.62,580.039,580.007,579.816,579.816,580.295,46.485,-84.3017
9076024,"Rock Cut, MI",579.865,579.557,579.409,579.459,579.439,579.767,46.265,-84.1917
9063009,"American Falls, NY",559.186,559.124,559.419,559.035,558.983,559.606,43.0817,-79.0617
